epoch,train_loss,val_loss
0,1.210224316827953,1.0175244783982635
1,1.1937063233306011,1.004781414847821
2,1.1928389698266983,1.0038655575364828
3,1.1924950471768776,1.0034736297093332
4,1.192388524239262,1.003357048984617
5,1.192291955774029,1.0032523944973946
6,1.1922665067017078,1.0032270248048007
7,1.1922530811280012,1.003214224986732
8,1.1922664580245812,1.0032334149815143
9,1.1922477470089992,1.0032075125724078
10,1.1922315386434397,1.003194475080818
11,1.1922288611531258,1.0031909715384244
12,1.1922300851593415,1.0031894498504699
13,1.192224949846665,1.0031847078353167
14,1.1922283296783764,1.0031860833987594
15,1.1922236787776153,1.0031834749504924
16,1.1922389628986518,1.0032029583118856
17,1.1922282963991164,1.003189267590642
18,1.1922250409921011,1.0031865544617176
19,1.1922191162904103,1.0031805456615985
20,1.1922256423781314,1.0031847915612162
21,1.1922230945279202,1.0031827288679778
22,1.1922263797372579,1.003186539746821
23,1.1922209096451601,1.0031817575916648
24,1.1922251749783754,1.0031863029114902
25,1.1922208863000074,1.0031820845790207
26,1.192229433109363,1.0031875240616501
27,1.1922180953125159,1.0031798039563
28,1.1922182135283947,1.0031789214350284
29,1.1922197192907333,1.0031805865466594
30,1.1922468222677707,1.003203222155571
31,1.1922187816351653,1.0031812749803066
32,1.1922151248902082,1.00317614749074
33,1.1922286753853162,1.0031900621950627
34,1.1922189984470606,1.0031798532232643
35,1.1922235149890184,1.003185602184385
36,1.1922249738126993,1.0031864357180893
37,1.1922278584291537,1.0031875657849014
38,1.1922261901199818,1.0031860647723079
39,1.1922215142597754,1.0031813527457416
40,1.1922543828686079,1.0032131413929164
41,1.1922171607613563,1.003178029228002
42,1.1922197754184405,1.0031805017963051
43,1.192247461900115,1.0032071449793876
44,1.1922426274667184,1.0032011289149523
45,1.1922194793820382,1.0031776010990143
46,1.1922268667568763,1.0031837160699069
47,1.1922195638219515,1.003178848605603
48,1.1922174437592428,1.00317635666579
49,1.1922163972010216,1.0031762134283781
50,1.192214838663737,1.0031738521531224
51,1.1922141256431737,1.003173845168203
52,1.1922202225774527,1.0031783612444998
53,1.1922221146523952,1.0031832065433264
54,1.1922316376119853,1.0031929262913764
55,1.1922218213478724,1.0031804805621505
56,1.192214401687185,1.0031731243245303
57,1.1922158369173605,1.0031744489446281
58,1.1922342675427595,1.0031953062862158
59,1.1922228197256723,1.0031818436458706
60,1.1922147127489249,1.0031741032376886
61,1.1922188263386488,1.0031781234778463
62,1.1922131802886724,1.003172169998288
63,1.192213978121678,1.0031729171052575
64,1.1922120819489161,1.0031712353229523
65,1.1922131477544704,1.003172711096704
66,1.1922150660306214,1.0031745774671434
67,1.1922194550434748,1.0031780261546372
68,1.1922116956363122,1.00317048933357
69,1.192214568083485,1.003173311240971
70,1.192217763637503,1.003176368586719
71,1.1922128312289715,1.003172105178237
72,1.1922139978657167,1.0031729428097607
73,1.192225486288468,1.0031845946796238
74,1.192217884088556,1.0031768678687514
75,1.1922151836256185,1.0031741259619593
76,1.1922293820728858,1.0031859889626502
77,1.1922225182255108,1.0031816366128623
78,1.1922118267665307,1.003170729149133
79,1.1922114122658969,1.0031703579239548
80,1.1922125291079282,1.0031714930199087
81,1.1922134728481373,1.0031728231348098
82,1.1922114859024684,1.003170446306467
83,1.1922104988247155,1.0031695701181889
84,1.1922109011560678,1.0031699618324637
85,1.19221599586308,1.0031744533218443
86,1.1922164754321178,1.0031758044846355
87,1.1922119171669086,1.0031707293353975
88,1.1922154226650794,1.0031742404215038
89,1.19221431526045,1.0031737045384943
90,1.1922130624453227,1.0031719186343253
91,1.1922116812318564,1.0031709651462735
92,1.192214228088657,1.0031730764545501
93,1.1922131422907114,1.0031721166335046
94,1.192210799579819,1.0031700750812889
95,1.1922167445222536,1.0031755276024341
96,1.1922109726816417,1.0031699904240667
97,1.192218473056952,1.0031775370240212
98,1.1922122462342182,1.0031710457988083
99,1.1922175950060288,1.0031763966195286
